brand,variation,series_description,overprint,factory_number,series_name
American Beauty,Frame,350 Series,FALSE,25,350 Series
American Beauty,No Frame,350 Series,FALSE,25,350 Series
American Beauty,,460 Series,FALSE,42,460 Series
Broad Leaf,,350 Series,FALSE,25,350 Series
Broad Leaf,,460 Series,FALSE,25,460 Series
Carolina Brights,,Assorted,FALSE,25,Assorted
Cycle,,350 Series,FALSE,25,350 Series
Cycle,,460 Series,FALSE,25,460 Series
Drum,,350 Series,FALSE,25,350 Series
El Principe de Gales,,Assorted,FALSE,17,Assorted
Hindu,Brown,Assorted,FALSE,649,Assorted
Hindu,Red,Assorted,FALSE,649,Assorted
Lenox,Black,Assorted,FALSE,30,Assorted
Lenox,Brown,Assorted,FALSE,30,Assorted
Old Mill,,Assorted,FALSE,25,Assorted
Old Mill,SL,Assorted,FALSE,25,Assorted
Piedmont,,150 Series,FALSE,25,150 Series
Piedmont,,350 Series,FALSE,25,350 Series
Piedmont,,350-460 Series,FALSE,25,350 Series
Piedmont,,350-460 Series,FALSE,42,350 Series
Piedmont,,350-460 Series,FALSE,25,460 Series
Piedmont,,350-460 Series,FALSE,42,460 Series
Polar Bear,,Assorted,FALSE,6,Assorted
Sovereign,,150 Series,FALSE,25,150 Series
Sovereign,,350 Series,FALSE,25,350 Series
Sovereign,,460 Series,FALSE,25,460 Series
Sweet Caporal,,150 Series,FALSE,25,150 Series
Sweet Caporal,,150 Series,FALSE,30,150 Series
Sweet Caporal,,150 Series,FALSE,649,150 Series
Sweet Caporal,,350 Series,FALSE,25,350 Series
Sweet Caporal,,350 Series,FALSE,30,350 Series
Sweet Caporal,,350-460 Series,FALSE,25,350 Series
Sweet Caporal,,350-460 Series,FALSE,30,350 Series
Sweet Caporal,,350-460 Series,FALSE,42,350 Series
Sweet Caporal,,350-460 Series,TRUE,42,350 Series
Sweet Caporal,,350-460 Series,FALSE,25,460 Series
Sweet Caporal,,350-460 Series,FALSE,30,460 Series
Sweet Caporal,,350-460 Series,FALSE,42,460 Series
Sweet Caporal,,350-460 Series,TRUE,42,460 Series
Tolstoi,,Assorted,FALSE,30,Assorted
Uzit,,Assorted,FALSE,30,Assorted